table id,name,phone number,Location,Emp. Group,Function,Gender ,Tenure,Tenure Grp.,Experience (YY.MM),Marital Status,Age in YY.,Hiring Source,Promoted/Non Promoted,Job Role Match,Stay/Left
220,Dwane,9876544345,Noida,B1,Support,Male,0.11,< =1,3.01,Single,27.11,Direct,Promoted,Yes,Stay
221,Dwane,9876544345,Bangalore,B1,Operation,Male,1,< =1,6.06,Single,38.1,Agency,Non Promoted,No,Left
222,Dwane,9876544345,Noida,B1,Operation,Male,0.11,< =1,4.11,Single,29.12,Agency,Non Promoted,Yes,Stay
223,Dwane,9876544345,Chennai,B2,Operation,Male,0.11,< =1,7.11,Marr.,30.11,Direct,Non Promoted,No,Stay
224,Dwane,9876544345,Bangalore,B2,Operation,Male,1,< =1,8,Marr.,32.12,Direct,Non Promoted,No,Stay
225,Dwane,9876544345,Noida,B1,Operation,Male,1,< =1,2.08,Single,26,Agency,Non Promoted,No,Left
226,Dwane,9876544345,Noida,B1,Operation,Male,0.11,< =1,4.03,Single,29.02,Direct,Non Promoted,Yes,Stay
227,Dwane,9876544345,Chennai,B2,Operation,Female,1,< =1,10,Marr.,37.1,Direct,Non Promoted,Yes,Stay
228,Dwane,9876544345,Bangalore,B3,Operation,Male,1,< =1,12,Marr.,38.06,Direct,Non Promoted,Yes,Stay
229,Dwane,9876544345,Bangalore,B1,Operation,Female,1,< =1,5.06,Marr.,35.05,Direct,Non Promoted,Yes,Stay
230,Dwane,9876544345,Chennai,B1,Operation,Male,1,< =1,4.08,Single,28.02,Direct,Non Promoted,No,Left
231,Dwane,9876544345,Pune,B3,Operation,Male,1,< =1,15,Marr.,38.09,Direct,Non Promoted,Yes,Left
232,Dwane,9876544345,Bangalore,B2,Operation,Male,1,< =1,6.01,Marr.,36.06,Direct,Non Promoted,Yes,Stay
233,Dwane,9876544345,Bangalore,B1,Operation,Male,1,< =1,3.06,Single,29.05,Agency,Promoted,No,Left
234,Dwane,9876544345,Pune,B2,Operation,Female,1,< =1,6.02,Marr.,29.05,Direct,Non Promoted,Yes,Stay
235,Dwane,9876544345,Bangalore,B1,Operation,Female,1,< =1,6.01,Marr.,30.03,Direct,Non Promoted,Yes,Stay
236,Dwane,9876544345,Bangalore,B1,Operation,Male,1,< =1,10,Marr.,36.12,Direct,Non Promoted,Yes,Left
237,Dwane,9876544345,Bangalore,B2,Operation,Male,1,< =1,9,Single,28.12,Direct,Non Promoted,Yes,Left
238,Dwane,9876544345,Bangalore,B2,Operation,Male,1,< =1,4,Marr.,26.07,Direct,Non Promoted,Yes,Stay
239,Dwane,9876544345,Chennai,B1,Support,Female,1,< =1,5,Marr.,33.06,Direct,Non Promoted,Yes,Stay
240,Dwane,9876544345,Pune,B3,Operation,Male,1,< =1,9.01,Marr.,37.07,Agency,Promoted,No,Stay
241,Dwane,9876544345,Noida,B1,Operation,Female,1,< =1,2.05,Single,27,Agency,Non Promoted,No,Left
242,Dwane,9876544345,Chennai,B1,Operation,Male,1,< =1,3.08,Marr.,29.01,Direct,Non Promoted,Yes,Stay
243,Dwane,9876544345,Hyderabad,B2,Operation,Male,1,< =1,5.08,Marr.,32.02,Direct,Non Promoted,Yes,Stay
244,Dwane,9876544345,Bangalore,B2,Operation,Female,1,< =1,9,Marr.,30.07,Direct,Non Promoted,No,Stay
245,Dwane,9876544345,Chennai,B1,Operation,Female,1.01,> 1 & < =3,1.09,Single,23.08,Direct,Non Promoted,No,Left
246,Dwane,9876544345,Chennai,B1,Operation,Male,1,< =1,3.07,Single,26.09,Direct,Non Promoted,Yes,Stay
247,Dwane,9876544345,Noida,B1,Operation,Male,1,< =1,1.09,Single,26.09,Direct,Non Promoted,Yes,Stay
248,Dwane,9876544345,Bangalore,B2,Operation,Female,1,< =1,4,Single,25.01,Direct,Non Promoted,Yes,Stay
249,Dwane,9876544345,Bangalore,B2,Operation,Male,1,< =1,9,Marr.,31.03,Direct,Non Promoted,No,Left
250,Arnab,9876544345,Lucknow,B2,Operation,Male,1,< =1,7.05,Marr.,32.02,Direct,Non Promoted,Yes,Stay
251,Arnab,9876544345,Madurai,B1,Operation,Female,1,< =1,3.01,Marr.,26.05,Direct,Non Promoted,Yes,Stay
252,Arnab,9876544345,Noida,B1,Operation,Male,1,< =1,3.04,Single,24.01,Direct,Non Promoted,Yes,Stay
253,Arnab,9876544345,Madurai,B1,Operation,Male,1,< =1,7.02,Marr.,32.06,Direct,Non Promoted,Yes,Stay
254,Arnab,9876544345,Hyderabad,B3,Operation,Male,1,< =1,12.02,Marr.,38.11,Agency,Non Promoted,No,Left
255,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.01,> 1 & < =3,7.01,Marr.,30.07,Direct,Promoted,Yes,Stay
256,Arnab,9876544345,Bangalore,B1,Operation,Male,1,< =1,4.02,Single,30.01,Direct,Promoted,Yes,Stay
257,Arnab,9876544345,Bangalore,B2,Operation,Male,1,< =1,6.08,Single,29.04,Direct,Non Promoted,Yes,Stay
258,Arnab,9876544345,Bangalore,B1,Operation,Male,1.01,> 1 & < =3,4.01,Single,27.03,Direct,Promoted,No,Left
259,Arnab,9876544345,Bangalore,B2,Operation,Male,1,< =1,6.09,Single,30.02,Direct,Promoted,Yes,Stay
260,Arnab,9876544345,Gurgaon,B1,Operation,Male,1,< =1,2.1,Single,25.11,Employee Referral,Non Promoted,Yes,Stay
261,Arnab,9876544345,Chennai,B2,Operation,Male,1.01,> 1 & < =3,6.11,Marr.,29.02,Direct,Non Promoted,Yes,Stay
262,Arnab,9876544345,Chennai,B1,Operation,Male,1,< =1,3.11,Single,25.06,Direct,Promoted,Yes,Stay
263,Arnab,9876544345,Hyderabad,B1,Operation,Male,1,< =1,5,Single,27.02,Agency,Non Promoted,No,Left
264,Arnab,9876544345,Noida,B2,Operation,Male,1.01,> 1 & < =3,7.11,Single,27.11,Direct,Promoted,No,Stay
265,Arnab,9876544345,Chennai,B1,Operation,Female,1.01,> 1 & < =3,4.05,Marr.,30.11,Agency,Non Promoted,Yes,Stay
266,Arnab,9876544345,Chennai,B2,Operation,Male,1,< =1,5,Single,28.04,Direct,Non Promoted,Yes,Stay
267,Arnab,9876544345,Noida,B1,Support,Male,1.01,> 1 & < =3,3.04,Single,26.05,Direct,Non Promoted,Yes,Stay
268,Arnab,9876544345,Bangalore,B2,Operation,Male,1.01,> 1 & < =3,6.05,Marr.,29.09,Direct,Non Promoted,Yes,Stay
269,Arnab,9876544345,Hyderabad,B3,Operation,Male,1.01,> 1 & < =3,12.01,Marr.,34.02,Direct,Non Promoted,No,Left
270,Arnab,9876544345,Noida,B2,Operation,Male,1.01,> 1 & < =3,8.06,Marr.,31.03,Direct,Non Promoted,Yes,Stay
271,Arnab,9876544345,Nagpur,B1,Operation,Female,1.01,> 1 & < =3,1.01,Marr.,29.04,Direct,Non Promoted,Yes,Stay
272,Arnab,9876544345,Noida,B1,Operation,Female,1.01,> 1 & < =3,1.08,Single,23.12,Direct,Promoted,No,Left
273,Arnab,9876544345,Chennai,B1,Operation,Male,1.01,> 1 & < =3,1.1,Single,24.04,Direct,Promoted,No,Left
274,Arnab,9876544345,Chennai,B2,Operation,Male,1.01,> 1 & < =3,8.03,Single,30.02,Direct,Promoted,Yes,Stay
275,Arnab,9876544345,Chennai,B2,Operation,Female,1.01,> 1 & < =3,5.09,Single,27.07,Direct,Non Promoted,Yes,Stay
276,Arnab,9876544345,Chennai,B1,Operation,Male,1.01,> 1 & < =3,3.03,Single,24.1,Agency,Promoted,No,Left
277,Arnab,9876544345,Chennai,B1,Operation,Male,1.01,> 1 & < =3,2.05,Single,25.03,Direct,Promoted,No,Left
278,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.02,> 1 & < =3,6.04,Single,30.08,Agency,Non Promoted,Yes,Left
279,Arnab,9876544345,Bangalore,B2,Operation,Female,1.01,> 1 & < =3,6.01,Marr.,29.1,Direct,Promoted,Yes,Stay
280,Arnab,9876544345,Madurai,B1,Operation,Male,1.01,> 1 & < =3,5.06,Marr.,29.01,Direct,Promoted,Yes,Stay
281,Arnab,9876544345,Noida,B1,Support,Female,1.01,> 1 & < =3,4.09,Marr.,30.03,Direct,Non Promoted,Yes,Stay
282,Arnab,9876544345,Noida,B3,Operation,Male,1.01,> 1 & < =3,11.01,Marr.,33.08,Direct,Promoted,No,Stay
283,Arnab,9876544345,Gurgaon,B1,Operation,Male,1.01,> 1 & < =3,3.07,Single,25.06,Direct,Non Promoted,Yes,Stay
284,Arnab,9876544345,Chennai,B2,Operation,Male,1.02,> 1 & < =3,6.02,Single,29.04,Direct,Non Promoted,Yes,Stay
285,Arnab,9876544345,Chennai,B1,Operation,Female,1.02,> 1 & < =3,1.02,Single,23.09,Direct,Non Promoted,Yes,Stay
286,Arnab,9876544345,Noida,B1,Operation,Male,1.02,> 1 & < =3,1.02,Single,23.1,Direct,Non Promoted,No,Left
287,Arnab,9876544345,Lucknow,B2,Operation,Male,1.02,> 1 & < =3,6.07,Marr.,32.04,Employee Referral,Promoted,No,Stay
288,Arnab,9876544345,Chennai,B2,Operation,Male,1.02,> 1 & < =3,4.02,Single,25.11,Agency,Promoted,No,Left
289,Arnab,9876544345,Chennai,B1,Operation,Female,1.02,> 1 & < =3,2.02,Single,24.06,Direct,Non Promoted,Yes,Stay
290,Arnab,9876544345,Bangalore,B1,Operation,Male,1.02,> 1 & < =3,3.09,Single,30.06,Direct,Non Promoted,Yes,Stay
291,Arnab,9876544345,Hyderabad,B1,Operation,Female,1.02,> 1 & < =3,3.02,Single,26.01,Direct,Promoted,Yes,Stay
292,Arnab,9876544345,Nagpur,B1,Operation,Male,1.01,> 1 & < =3,3.09,Single,27.07,Direct,Promoted,No,Left
293,Arnab,9876544345,Noida,B1,Operation,Male,1.02,> 1 & < =3,1.02,Single,24.01,Direct,Non Promoted,Yes,Stay
294,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.02,> 1 & < =3,5.07,Single,28.04,Direct,Promoted,Yes,Stay
295,Arnab,9876544345,Bangalore,B2,Operation,Female,1.02,> 1 & < =3,11.05,Marr.,32.08,Direct,Promoted,No,Stay
296,Arnab,9876544345,Noida,B6,Support,Male,1.02,> 1 & < =3,14.02,Marr.,40.06,Direct,Promoted,Yes,Stay
297,Arnab,9876544345,Lucknow,B0,Support,Male,1.02,> 1 & < =3,1.02,Single,24,Direct,Non Promoted,Yes,Stay
298,Arnab,9876544345,Noida,B2,Operation,Male,1.02,> 1 & < =3,7.02,Single,29.02,Direct,Promoted,No,Left
299,Arnab,9876544345,Chennai,B1,Operation,Male,1.02,> 1 & < =3,2.03,Single,24.03,Agency,Promoted,No,Left
300,Arnab,9876544345,Chennai,B1,Operation,Male,1.02,> 1 & < =3,4.06,Single,26.12,Direct,Promoted,Yes,Stay
301,Arnab,9876544345,Bangalore,B1,Operation,Male,1.02,> 1 & < =3,5.1,Marr.,30.09,Direct,Non Promoted,Yes,Stay
302,Arnab,9876544345,Chennai,B1,Operation,Male,1.02,> 1 & < =3,2.09,Single,27.05,Direct,Non Promoted,No,Left
303,Arnab,9876544345,Noida,B2,Operation,Male,1.02,> 1 & < =3,6.02,Single,29.02,Direct,Non Promoted,Yes,Stay
304,Arnab,9876544345,Noida,B1,Sales,Female,1.02,> 1 & < =3,1.07,Single,25.03,Direct,Non Promoted,Yes,Stay
305,Arnab,9876544345,Noida,B1,Operation,Male,1.02,> 1 & < =3,4.07,Single,26.05,Agency,Non Promoted,No,Left
306,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,2.08,Single,26.05,Direct,Promoted,Yes,Stay
307,Arnab,9876544345,Noida,B1,Operation,Male,1.02,> 1 & < =3,6.02,Marr.,27.1,Direct,Non Promoted,Yes,Left
308,Arnab,9876544345,Noida,B2,Operation,Male,1.02,> 1 & < =3,5.02,Single,27.04,Employee Referral,Non Promoted,Yes,Stay
309,Arnab,9876544345,Noida,B1,Support,Male,1.02,> 1 & < =3,3.07,Single,28.06,Direct,Promoted,No,Left
310,Arnab,9876544345,Chennai,B1,Operation,Male,1.02,> 1 & < =3,2.03,Single,23.09,Direct,Non Promoted,Yes,Stay
311,Arnab,9876544345,Noida,B1,Support,Female,1.03,> 1 & < =3,1.03,Single,24.04,Direct,Promoted,No,Left
312,Arnab,9876544345,Noida,B1,Operation,Female,1.02,> 1 & < =3,3,Single,25.1,Agency,Promoted,No,Left
313,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,4.11,Single,28.09,Direct,Promoted,No,Left
314,Arnab,9876544345,Bangalore,B2,Operation,Male,1.02,> 1 & < =3,6.05,Marr.,28.1,Direct,Non Promoted,No,Left
315,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,2.08,Single,24.07,Direct,Non Promoted,No,Left
316,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,5.03,Single,27.12,Direct,Promoted,No,Stay
317,Arnab,9876544345,Noida,B2,Operation,Male,1.02,> 1 & < =3,4.02,Marr.,27.06,Employee Referral,Promoted,No,Left
318,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,7.07,Marr.,35.05,Agency,Non Promoted,Yes,Stay
319,Arnab,9876544345,Noida,B3,Support,Male,1.03,> 1 & < =3,12.03,Marr.,35.1,Direct,Non Promoted,Yes,Stay
320,Arnab,9876544345,Kolkata,B1,Operation,Female,1.03,> 1 & < =3,5.11,Single,28.1,Direct,Non Promoted,Yes,Stay
321,Arnab,9876544345,Hyderabad,B2,Operation,Male,1.08,> 1 & < =3,1.08,Marr.,43.1,Direct,Non Promoted,Yes,Stay
322,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.08,> 1 & < =3,1.08,Single,25.07,Direct,Non Promoted,Yes,Stay
323,Arnab,9876544345,Hyderabad,B2,Operation,Male,1.08,> 1 & < =3,1.08,Single,26.08,Direct,Non Promoted,Yes,Stay
324,Arnab,9876544345,Hyderabad,B2,Operation,Male,1.08,> 1 & < =3,1.08,Single,33.03,Direct,Non Promoted,No,Left
325,Arnab,9876544345,Lucknow,B0,Support,Female,1.03,> 1 & < =3,1.03,Single,24.02,Direct,Non Promoted,No,Left
326,Arnab,9876544345,Noida,B1,Operation,Female,1.03,> 1 & < =3,1.03,Single,23,Direct,Non Promoted,No,Left
327,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,4.03,Marr.,29.02,Direct,Non Promoted,Yes,Stay
328,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,8.03,Marr.,35.07,Employee Referral,Non Promoted,Yes,Stay
329,Arnab,9876544345,Bangalore,B2,Operation,Male,1.03,> 1 & < =3,6.03,Single,34.01,Direct,Promoted,No,Stay
330,Arnab,9876544345,Bangalore,B1,Operation,Male,1.03,> 1 & < =3,1.09,Marr.,27.11,Direct,Non Promoted,Yes,Stay
331,Arnab,9876544345,Pune,B2,Operation,Male,1.03,> 1 & < =3,11.08,Marr.,34.06,Direct,Promoted,Yes,Stay
332,Arnab,9876544345,Noida,B1,Operation,Female,1.03,> 1 & < =3,4.03,Single,27.04,Direct,Non Promoted,Yes,Stay
333,Arnab,9876544345,Noida,B1,Support,Male,1.03,> 1 & < =3,1.03,Single,24.09,Direct,Non Promoted,No,Left
334,Arnab,9876544345,Chennai,B2,Operation,Male,1.03,> 1 & < =3,12.03,Marr.,35.08,Direct,Promoted,No,Stay
335,Arnab,9876544345,Bangalore,B2,Operation,Male,1.03,> 1 & < =3,8.03,Marr.,30.05,Direct,Non Promoted,Yes,Stay
336,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,4.03,Single,35.08,Direct,Promoted,Yes,Stay
337,Arnab,9876544345,Chennai,B1,Operation,Female,1.03,> 1 & < =3,4.03,Marr.,25.06,Direct,Promoted,No,Stay
338,Arnab,9876544345,Hyderabad,B2,Operation,Female,1.03,> 1 & < =3,7.06,Marr.,37.06,Direct,Promoted,No,Stay
339,Arnab,9876544345,Bangalore,B3,Operation,Female,1.03,> 1 & < =3,14,Marr.,38.09,Direct,Promoted,No,Stay
340,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,7.05,Marr.,30.05,Direct,Non Promoted,Yes,Stay
341,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,5.03,Single,27.08,Direct,Promoted,No,Left
342,Arnab,9876544345,Noida,B2,Operation,Male,1.03,> 1 & < =3,4.1,Single,29.09,Agency,Non Promoted,Yes,Stay
343,Arnab,9876544345,Noida,B1,Operation,Female,1.03,> 1 & < =3,2.07,Single,27.03,Agency,Non Promoted,Yes,Stay
344,Arnab,9876544345,Pune,B1,Operation,Female,1.03,> 1 & < =3,4.08,Single,26.05,Direct,Promoted,Yes,Stay
345,Arnab,9876544345,Chennai,B1,Operation,Male,1.03,> 1 & < =3,1.03,Single,23.04,Direct,Non Promoted,Yes,Stay
346,Arnab,9876544345,Pune,B2,Operation,Male,1.03,> 1 & < =3,6.08,Marr.,32.1,Employee Referral,Promoted,No,Left
347,Arnab,9876544345,Bangalore,B1,Operation,Female,1.03,> 1 & < =3,3.02,Single,27.11,Direct,Promoted,No,Left
348,Arnab,9876544345,Chennai,B1,Operation,Female,1.03,> 1 & < =3,5.03,Single,27.07,Direct,Promoted,No,Stay
349,Arnab,9876544345,Hyderabad,B2,Operation,Female,1.04,> 1 & < =3,12.1,Single,40.02,Direct,Non Promoted,Yes,Stay
350,Arnab,9876544345,Chennai,B1,Operation,Male,1.04,> 1 & < =3,3.11,Single,29,Direct,Non Promoted,Yes,Stay
351,Arnab,9876544345,Bangalore,B1,Operation,Female,1.03,> 1 & < =3,2.06,Single,23.08,Direct,Non Promoted,Yes,Stay
352,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.04,> 1 & < =3,3.1,Single,26.03,Direct,Promoted,No,Left
353,Arnab,9876544345,Noida,B3,Support,Female,1.03,> 1 & < =3,15.05,Marr.,37.03,Agency,Non Promoted,No,Left
354,Arnab,9876544345,Chennai,B4,Support,Male,1.04,> 1 & < =3,16.04,Marr.,42.05,Direct,Non Promoted,Yes,Stay
355,Arnab,9876544345,Bangalore,B1,Operation,Female,1.04,> 1 & < =3,4.04,Single,26.09,Direct,Non Promoted,Yes,Stay
356,Arnab,9876544345,Bangalore,B2,Operation,Male,1.04,> 1 & < =3,7.03,Single,30.04,Agency,Non Promoted,Yes,Left
357,Arnab,9876544345,Bangalore,B1,Operation,Female,1.04,> 1 & < =3,5.1,Marr.,26.1,Agency,Promoted,No,Left
358,Arnab,9876544345,Bangalore,B2,Operation,Male,1.04,> 1 & < =3,8.04,Single,29.06,Direct,Promoted,Yes,Stay
359,Arnab,9876544345,Chennai,B2,Operation,Male,1.04,> 1 & < =3,8.04,Marr.,32.05,Direct,Promoted,No,Stay
360,Arnab,9876544345,Noida,B1,Operation,Female,1.04,> 1 & < =3,5.08,Single,28.03,Direct,Promoted,No,Left
361,Arnab,9876544345,Noida,B2,Operation,Male,1.04,> 1 & < =3,8.01,Marr.,32.07,Direct,Promoted,Yes,Stay
362,Arnab,9876544345,Lucknow,B1,Operation,Female,1.04,> 1 & < =3,2.04,Single,24.08,Direct,Non Promoted,Yes,Stay
363,Arnab,9876544345,Noida,B1,Operation,Male,1.04,> 1 & < =3,4.07,Single,27.02,Direct,Promoted,No,Left
364,Arnab,9876544345,Nagpur,B1,Operation,Female,1.04,> 1 & < =3,4.06,Single,29.09,Direct,Promoted,No,Left
365,Arnab,9876544345,Bangalore,B3,Operation,Male,1.04,> 1 & < =3,15.04,Marr.,37.02,Direct,Promoted,No,Stay
366,Arnab,9876544345,Pune,B1,Operation,Male,1.04,> 1 & < =3,6.04,Marr.,31.03,Direct,Promoted,No,Left
367,Arnab,9876544345,Chennai,B1,Operation,Female,1.04,> 1 & < =3,2,Single,23.02,Direct,Non Promoted,Yes,Stay
368,Arnab,9876544345,Noida,B1,Support,Male,1.04,> 1 & < =3,6,Marr.,30.04,Direct,Promoted,Yes,Stay
369,Arnab,9876544345,Bangalore,B1,Operation,Female,1.04,> 1 & < =3,2.06,Marr.,26.1,Direct,Promoted,No,Left
370,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.04,> 1 & < =3,3.1,Single,26.09,Direct,Promoted,No,Left
371,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.04,> 1 & < =3,2.05,Single,23.07,Employee Referral,Promoted,Yes,Stay
372,Arnab,9876544345,Chennai,B1,Operation,Male,1.04,> 1 & < =3,4,Single,26.1,Direct,Non Promoted,Yes,Stay
373,Arnab,9876544345,Nagpur,B1,Operation,Male,1.04,> 1 & < =3,4,Single,26.05,Direct,Non Promoted,Yes,Stay
374,Arnab,9876544345,Chennai,B2,Operation,Male,1.04,> 1 & < =3,8,Marr.,35.07,Agency,Promoted,Yes,Stay
375,Arnab,9876544345,Noida,B2,Operation,Male,1.04,> 1 & < =3,4.06,Single,24.09,Agency,Promoted,No,Stay
376,Arnab,9876544345,Noida,B2,Operation,Female,1.04,> 1 & < =3,5,Single,27.06,Direct,Promoted,No,Left
377,Arnab,9876544345,Chennai,B2,Operation,Male,1.04,> 1 & < =3,5.04,Marr.,31.1,Direct,Promoted,No,Left
378,Arnab,9876544345,Bangalore,B2,Operation,Female,1.05,> 1 & < =3,10.07,Marr.,37.06,Direct,Promoted,No,Stay
379,Arnab,9876544345,Bangalore,B1,Operation,Male,1.04,> 1 & < =3,6,Single,28.11,Direct,Promoted,No,Left
380,Arnab,9876544345,Noida,B1,Operation,Female,1.05,> 1 & < =3,4.05,Single,27.08,Direct,Promoted,No,Stay
381,Arnab,9876544345,Chennai,B1,Operation,Male,1.04,> 1 & < =3,5.05,Marr.,28.02,Direct,Promoted,No,Stay
382,Arnab,9876544345,Noida,B1,Operation,Male,1.04,> 1 & < =3,4.11,Single,27.03,Direct,Promoted,No,Left
383,Arnab,9876544345,Chennai,B2,Operation,Female,1.04,> 1 & < =3,9.04,Marr.,31.01,Direct,Non Promoted,Yes,Stay
384,Arnab,9876544345,Chennai,B2,Operation,Female,1.05,> 1 & < =3,4.09,Marr.,26.08,Direct,Promoted,No,Stay
385,Arnab,9876544345,Madurai,B1,Operation,Male,1.05,> 1 & < =3,5.07,Marr.,27.07,Direct,Promoted,No,Left
386,Arnab,9876544345,Bangalore,B1,Operation,Male,1.05,> 1 & < =3,3.06,Single,26.1,Direct,Promoted,Yes,Stay
387,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.05,> 1 & < =3,5.1,Marr.,28.02,Direct,Non Promoted,Yes,Left
388,Arnab,9876544345,Noida,B2,Operation,Female,1.04,> 1 & < =3,5.1,Marr.,29.04,Employee Referral,Promoted,Yes,Stay
389,Arnab,9876544345,Noida,B2,Operation,Male,1.04,> 1 & < =3,7.05,Single,30.02,Direct,Non Promoted,Yes,Stay
390,Arnab,9876544345,Noida,B3,Support,Male,1.05,> 1 & < =3,8.07,Marr.,37.04,Direct,Promoted,No,Stay
391,Arnab,9876544345,Noida,B1,Operation,Female,1.04,> 1 & < =3,6.07,Single,28.09,Direct,Non Promoted,Yes,Stay
392,Arnab,9876544345,Noida,B1,Operation,Female,1.05,> 1 & < =3,2.04,Single,24.05,Direct,Promoted,No,Left
393,Arnab,9876544345,Chennai,B1,Operation,Female,1.05,> 1 & < =3,3.11,Single,25.09,Direct,Non Promoted,Yes,Stay
394,Arnab,9876544345,Bangalore,B2,Operation,Female,1.05,> 1 & < =3,6.02,Marr.,29.07,Direct,Promoted,No,Stay
395,Arnab,9876544345,Bangalore,B1,Operation,Male,1.05,> 1 & < =3,2.01,Single,25.11,Direct,Promoted,No,Left
396,Arnab,9876544345,Bangalore,B2,Operation,Male,1.05,> 1 & < =3,6.03,Marr.,31.07,Direct,Promoted,No,Stay
397,Arnab,9876544345,Hyderabad,B2,Operation,Male,1.05,> 1 & < =3,8.11,Marr.,31.04,Direct,Promoted,No,Stay
398,Arnab,9876544345,Chennai,B4,Operation,Male,1.05,> 1 & < =3,18.05,Marr.,47.09,Direct,Promoted,No,Stay
399,Arnab,9876544345,Noida,B1,Operation,Male,1.05,> 1 & < =3,4.1,Single,29.02,Direct,Non Promoted,Yes,Stay
400,Arnab,9876544345,Noida,B1,Support,Female,1.05,> 1 & < =3,2,Single,24.05,Direct,Non Promoted,Yes,Stay
401,Arnab,9876544345,Pune,B1,Operation,Male,1.05,> 1 & < =3,6.04,Single,29.09,Direct,Promoted,Yes,Stay
402,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.05,> 1 & < =3,4.08,Single,27.08,Direct,Non Promoted,Yes,Stay
403,Arnab,9876544345,Pune,B1,Operation,Male,1.05,> 1 & < =3,5,Marr.,29.02,Direct,Non Promoted,Yes,Stay
404,Arnab,9876544345,Madurai,B1,Operation,Female,1.05,> 1 & < =3,1.05,Single,24.02,Direct,Promoted,No,Left
405,Arnab,9876544345,Bangalore,B2,Operation,Male,1.05,> 1 & < =3,9.06,Marr.,32.07,Direct,Non Promoted,Yes,Stay
406,Arnab,9876544345,Bangalore,B2,Operation,Male,1.05,> 1 & < =3,4.01,Single,28.05,Direct,Promoted,Yes,Stay
407,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.05,> 1 & < =3,3,Single,25.09,Direct,Non Promoted,Yes,Stay
408,Arnab,9876544345,Chennai,B1,Operation,Female,1.05,> 1 & < =3,5.01,Single,26.08,Employee Referral,Non Promoted,Yes,Stay
409,Arnab,9876544345,Chennai,B1,Support,Male,1.05,> 1 & < =3,4.03,Single,24.09,Direct,Promoted,No,Left
410,Arnab,9876544345,Noida,B3,Operation,Male,1.05,> 1 & < =3,13.05,Marr.,37.08,Employee Referral,Non Promoted,Yes,Stay
411,Arnab,9876544345,Noida,B7,Support,Male,1.05,> 1 & < =3,21.06,Marr.,45.05,Direct,Promoted,Yes,Stay
412,Arnab,9876544345,Noida,B1,Operation,Male,1.05,> 1 & < =3,5.1,Single,28.06,Direct,Non Promoted,Yes,Stay
413,Arnab,9876544345,Chennai,B1,Support,Male,1.05,> 1 & < =3,5.02,Marr.,31.03,Direct,Promoted,No,Left
414,Arnab,9876544345,Noida,B1,Operation,Female,1.05,> 1 & < =3,4.09,Single,28.05,Direct,Non Promoted,Yes,Stay
415,Arnab,9876544345,Noida,B1,Operation,Female,1.05,> 1 & < =3,3.08,Single,30.1,Direct,Promoted,No,Left
416,Arnab,9876544345,Bangalore,B2,Operation,Female,1.05,> 1 & < =3,6.05,Single,27.03,Direct,Non Promoted,No,Left
417,Arnab,9876544345,Noida,B1,Operation,Male,1.06,> 1 & < =3,2.04,Single,24.02,Direct,Promoted,No,Left
418,Arnab,9876544345,Hyderabad,B1,Operation,Male,1.05,> 1 & < =3,3.11,Single,26.11,Direct,Non Promoted,Yes,Stay
419,Arnab,9876544345,Noida,B2,Operation,Male,1.05,> 1 & < =3,6.05,Single,29.01,Agency,Non Promoted,Yes,Stay
420,Arnab,9876544345,Lucknow,B2,Operation,Male,1.05,> 1 & < =3,9.02,Marr.,30.07,Direct,Promoted,No,Stay
421,Arnab,9876544345,Pune,B4,Operation,Male,1.06,> 1 & < =3,13.08,Marr.,37.09,Direct,Promoted,No,Stay
422,Arnab,9876544345,Bangalore,B1,Operation,Male,1.05,> 1 & < =3,5.11,Single,28.04,Direct,Promoted,No,Left
423,Arnab,9876544345,Noida,B2,Operation,Female,1.05,> 1 & < =3,6.05,Single,30.04,Direct,Promoted,Yes,Stay
424,Arnab,9876544345,Noida,B1,Support,Female,1.06,> 1 & < =3,4.04,Single,26.03,Direct,Promoted,No,Stay
425,Arnab,9876544345,Chennai,B1,Operation,Male,1.05,> 1 & < =3,5.07,Single,28,Direct,Promoted,Yes,Stay
